"endTime","artistName","trackName","msPlayed"
"2023-11-09 14:48","Unknown Artist","Unknown Track",661
"2023-11-09 14:48","Unknown Artist","Unknown Track",191
"2023-11-09 14:48","Unknown Artist","Unknown Track",256
"2023-11-09 14:48","Unknown Artist","Unknown Track",170
"2023-11-09 14:48","Unknown Artist","Unknown Track",234
"2023-11-09 14:48","Unknown Artist","Unknown Track",447
"2023-11-09 14:48","Twenty One Pilots","We Don't Believe What's on TV",3733
"2023-11-09 14:48","Twenty One Pilots","Doubt",725
"2023-11-09 14:48","Twenty One Pilots","Pet Cheetah",1408
"2023-11-09 14:48","Twenty One Pilots","Holding on to You",789
"2023-11-09 14:48","Twenty One Pilots","Holding on to You",640
"2023-11-09 14:48","Twenty One Pilots","Stressed Out",981
"2023-11-09 14:48","Twenty One Pilots","Chlorine",682
"2023-11-09 14:48","Twenty One Pilots","Morph",576
"2023-11-09 14:48","Twenty One Pilots","Legend",725
"2023-11-09 14:48","Twenty One Pilots","Tear in My Heart",704
"2023-11-09 14:48","Twenty One Pilots","Not Today",1002
"2023-11-09 14:48","Twenty One Pilots","The Judge",597
"2023-11-09 14:48","Twenty One Pilots","Fairly Local",789
"2023-11-09 14:48","Twenty One Pilots","Migraine",917
"2023-11-09 14:48","Twenty One Pilots","Polarize",2026
"2023-11-09 14:48","Twenty One Pilots","Cut My Lip",831
"2023-11-09 14:48","Twenty One Pilots","Nico and the Niners",917
"2023-11-09 14:48","Drake","IDGAF (feat. Yeat)",93062
"2023-11-09 14:48","Twenty One Pilots","The Hype",703
"2023-11-09 14:49","Twenty One Pilots","Fake You Out",768
"2023-11-09 14:49","Twenty One Pilots","Choker",20181
"2023-11-09 14:49","Twenty One Pilots","Car Radio",832
"2023-11-09 14:49","Twenty One Pilots","Trees",768
"2023-11-09 14:49","Twenty One Pilots","Semi-Automatic",917
"2023-11-09 14:49","Twenty One Pilots","Screen",1578
"2023-11-09 14:49","Twenty One Pilots","Good Day",1088
"2023-11-09 14:49","Twenty One Pilots","The Run and Go",640
"2023-11-09 14:49","Twenty One Pilots","Guns for Hands",746
"2023-11-09 14:49","Twenty One Pilots","House of Gold",832
"2023-11-09 14:54","Young Thug","Parade on Cleveland (feat. Drake)",228266
"2023-11-09 14:59","ARTAN","She's A 10 But...",165428
"2023-11-09 15:02","Drake","Gently (feat. Bad Bunny)",133694
"2023-11-09 15:06","Travis Scott","MELTDOWN (feat. Drake)",246133
